class,name,n_vars,n_clauses,result,conflicts,time_s,avg_cone_size,avg_width,avg_depth,avg_sharing,avg_uips,avg_cuts,avg_nonsub,max_nonsub,avg_uip_len,avg_implicates,max_implicates,n_implicate_samples
xor_chain,n4,10,26,UNSAT,8,0.01,5.6,2.4,4,2.1,1,15.29,8.43,18,1.9,6.1,7,7
xor_chain,n6,16,42,UNSAT,21,0.27,6.2,2.7,4.6,2.7,1.05,15.75,11.3,27,2.8,6.5,12,17
xor_chain,n8,22,58,UNSAT,44,0.79,6.2,2.9,4.8,2.5,1.05,17.19,10.4,30,3.4,5.9,17,36
xor_chain,n10,28,74,UNSAT,63,0.95,6.2,3.0,4.7,2.8,1.13,16.82,10.84,30,3.8,5.8,17,52
xor_chain,n12,34,90,UNSAT,71,1.53,6.5,3.1,5.0,2.9,1.09,17.1,11.66,30,4.0,6.5,17,55
xor_chain,n16,46,122,UNSAT,113,2.06,6.4,3.0,4.9,2.7,1.08,17.86,12.15,30,4.3,6.6,17,84
xor_chain,n20,58,154,UNSAT,167,3.54,6.5,3.0,5.0,2.7,1.13,18.36,12.14,30,4.5,6.4,17,120
parity_tree,n4,10,26,UNSAT,8,0.01,5.3,2.4,3.9,1.3,1,15.14,7.57,14,1.9,5.7,8,7
parity_tree,n6,16,42,UNSAT,21,0.85,7.7,2.9,5.2,2.1,1.05,21.5,14.65,24,3.5,8.5,15,10
parity_tree,n8,22,58,UNSAT,38,1.35,7.2,2.9,5.3,2.2,1.16,19,12.38,29,3.5,8.8,31,29
parity_tree,n10,28,74,UNSAT,65,0.54,8.3,3.1,5.6,2.1,1.03,22.62,18.45,32,4.6,6.3,11,28
parity_tree,n12,34,90,UNSAT,70,0.82,7.2,2.9,5.4,2.1,1.2,19,12.36,32,4.0,7.6,17,51
eq_chain,n8,8,16,UNSAT,2,0.01,8,2,5,1,1,20,13,13,1,13,13,1
eq_chain,n16,16,32,UNSAT,2,0.0,16,2,9,1,1,32,32,32,1,,,0
eq_chain,n32,32,64,UNSAT,2,0.0,32,2,17,1,1,32,32,32,1,,,0
eq_chain,n64,64,128,UNSAT,2,0.0,64,2,33,1,1,32,32,32,1,,,0
eq_grid,3x3,9,26,UNSAT,2,0.0,5,2,3,1,1,9,5,5,1,5,5,1
eq_grid,4x4,16,50,UNSAT,2,0.0,7,2,4,1,1,16,10,10,1,10,10,1
eq_grid,5x5,25,82,UNSAT,2,0.03,9,2,5,1,1,25,17,17,1,17,17,1
eq_grid,6x6,36,122,UNSAT,2,0.57,11,2,6,1,1,32,32,32,1,26,26,1
adder,w2,21,71,UNSAT,15,0.08,8.9,3.6,5.4,2.3,1.21,20.29,16.64,32,3.2,5.8,7,8
adder,w3,30,103,UNSAT,36,0.47,11.9,4.6,6.5,3.4,1.34,25.69,22.69,32,4,6.7,14,11
adder,w4,39,135,UNSAT,62,0.86,9.2,3.8,5.5,2.6,1.38,23.67,18.23,32,4.5,6.2,14,31
adder,w5,48,167,UNSAT,87,1.11,9.9,3.8,6,3.2,1.37,23.87,18.3,32,4.6,5.9,14,37
adder,w6,57,199,UNSAT,99,1.47,8.3,3.7,5.3,2.8,1.32,22.06,16.28,32,4.6,6.5,14,53
multiplier,w2,64,207,UNSAT,14,0.27,17.4,4.2,8.6,3.5,1.31,28.31,26.92,32,3.3,11.7,15,3
multiplier,w3,126,433,UNSAT,58,0.09,25.2,6.3,11.1,6.7,1.19,29.09,27.05,32,9,6.5,10,4
php,n3,12,22,UNSAT,7,0.85,8,2.8,5.2,2,1.67,22.5,17.5,30,1.7,10,15,5
php,n4,20,45,UNSAT,29,1.03,9.2,3.5,5.9,2.8,1.46,25.36,19.64,32,3.8,8.5,13,10
php,n5,30,81,UNSAT,120,2.17,8.8,3.7,5.6,3.1,1.32,22.89,17.35,32,7.1,5.3,11,35
php,n6,42,133,UNSAT,792,1.64,9.2,4.4,5.7,3.5,1.28,23.83,17.08,32,12.7,3.0,14,32
card_seq,n8_k3,61,100,UNSAT,17,0.01,11.9,3.3,7.7,3.2,2.06,28.06,22.5,32,2.2,7.8,10,4
card_seq,n12_k4,116,200,UNSAT,62,1.48,11.5,3.6,8.0,3.3,2.13,26,18.77,32,3.8,7,17,23
card_seq,n16_k5,187,332,UNSAT,306,3.29,14.3,4.3,9.8,4.5,2.02,26.87,20.35,32,8.2,6,19,56
card_seq,n20_k6,274,496,UNSAT,750,3.72,18.5,5.5,12.8,6.5,2.15,27.21,21.09,32,10.7,5.2,16,81
random3sat,n30_s1,30,127,SAT,4,0.0,5.2,2.8,4.5,1.2,1.75,14.75,8.25,17,3,5.3,6,3
random3sat,n40_s2,40,170,UNSAT,55,1.32,9.4,3.9,6.6,3.6,1.22,26.76,18.41,32,4,9.0,19,25
random3sat,n50_s3,50,213,SAT,12,0.01,9.8,3.6,7.2,3.7,1.42,27.08,21.08,32,5.7,6,8,2
random3sat,n40_s11,40,170,SAT,5,0.13,9.4,3.6,6.6,2.8,1.6,23,17.6,32,5.4,8.3,13,3
random3sat,n50_s12,50,213,SAT,51,0.35,9.8,4.0,6.9,3.4,1.55,24.78,19.45,32,6.1,6.7,14,14
