class,name,strategy,result,conflicts,props,learned,vars_added,props_per_learned,props_per_conflict,reuse,time_s,speedup_vs_1uip
xor_chain,n4,1uip,UNSAT,8,39,4,0,9.75,4.88,,0.0,1.0
xor_chain,n4,multi2,UNSAT,8,37,11,0,3.36,4.62,,0.0,1.0
xor_chain,n4,multi4,UNSAT,6,29,16,0,1.81,4.83,,0.0,1.33
xor_chain,n4,multi8,UNSAT,6,26,26,0,1.0,4.33,,0.0,1.33
xor_chain,n4,ext1,UNSAT,8,39,4,0,9.75,4.88,,0.0,1.0
xor_chain,n4,ext4,UNSAT,8,39,4,0,9.75,4.88,,0.0,1.0
xor_chain,n4,ext8,UNSAT,8,39,4,0,9.75,4.88,,0.0,1.0
xor_chain,n4,xor_off,UNSAT,5,19,4,0,4.75,3.8,1.0,0.0,1.6
xor_chain,n6,1uip,UNSAT,21,139,16,0,8.69,6.62,,0.0,1.0
xor_chain,n6,multi2,UNSAT,20,124,35,0,3.54,6.2,,0.0,1.05
xor_chain,n6,multi4,UNSAT,16,87,52,0,1.67,5.44,,0.0,1.31
xor_chain,n6,multi8,UNSAT,12,73,57,0,1.28,6.08,,0.0,1.75
xor_chain,n6,ext1,UNSAT,42,184,42,1,4.38,4.38,0.95,0.0,0.5
xor_chain,n6,ext4,UNSAT,21,139,16,0,8.69,6.62,,0.0,1.0
xor_chain,n6,ext8,UNSAT,21,139,16,0,8.69,6.62,,0.0,1.0
xor_chain,n6,xor_off,UNSAT,14,65,14,0,4.64,4.64,1.0,0.0,1.5
xor_chain,n8,1uip,UNSAT,44,311,40,0,7.78,7.07,,0.0,1.0
xor_chain,n8,multi2,UNSAT,43,300,78,0,3.85,6.98,,0.0,1.02
xor_chain,n8,multi4,UNSAT,33,181,110,0,1.65,5.48,,0.0,1.33
xor_chain,n8,multi8,UNSAT,29,167,146,0,1.14,5.76,,0.0,1.52
xor_chain,n8,ext1,UNSAT,68,291,72,2,4.04,4.28,0.95,0.0,0.65
xor_chain,n8,ext4,UNSAT,45,333,53,4,6.28,7.4,0.33,0.0,0.98
xor_chain,n8,ext8,UNSAT,44,311,40,0,7.78,7.07,,0.0,1.0
xor_chain,n8,xor_off,UNSAT,27,161,37,2,4.35,5.96,1.0,0.0,1.63
xor_chain,n10,1uip,UNSAT,63,416,60,0,6.93,6.6,,0.0,1.0
xor_chain,n10,multi2,UNSAT,48,343,91,0,3.77,7.15,,0.0,1.31
xor_chain,n10,multi4,UNSAT,44,289,150,0,1.93,6.57,,0.0,1.43
xor_chain,n10,multi8,UNSAT,45,250,217,0,1.15,5.56,,0.01,1.4
xor_chain,n10,ext1,UNSAT,168,900,187,8,4.81,5.36,0.94,0.01,0.38
xor_chain,n10,ext4,UNSAT,69,448,84,6,5.33,6.49,0.74,0.0,0.91
xor_chain,n10,ext8,UNSAT,68,461,68,1,6.78,6.78,0.91,0.0,0.93
xor_chain,n10,xor_off,UNSAT,48,326,68,4,4.79,6.79,1.0,0.0,1.31
xor_chain,n12,1uip,UNSAT,71,521,67,0,7.78,7.34,,0.0,1.0
xor_chain,n12,multi2,UNSAT,71,517,135,0,3.83,7.28,,0.01,1.0
xor_chain,n12,multi4,UNSAT,67,379,240,0,1.58,5.66,,0.01,1.06
xor_chain,n12,multi8,UNSAT,60,355,291,0,1.22,5.92,,0.01,1.18
xor_chain,n12,ext1,UNSAT,139,787,151,6,5.21,5.66,0.94,0.0,0.51
xor_chain,n12,ext4,UNSAT,153,1100,183,12,6.01,7.19,0.88,0.01,0.46
xor_chain,n12,ext8,UNSAT,70,519,73,2,7.11,7.41,0.5,0.0,1.01
xor_chain,n12,xor_off,UNSAT,48,372,71,4,5.24,7.75,1.0,0.0,1.48
xor_chain,n16,1uip,UNSAT,113,955,108,0,8.84,8.45,,0.0,1.0
xor_chain,n16,multi2,UNSAT,112,951,216,0,4.4,8.49,,0.01,1.01
xor_chain,n16,multi4,UNSAT,98,644,334,0,1.93,6.57,,0.01,1.15
xor_chain,n16,multi8,UNSAT,89,594,497,0,1.2,6.67,,0.01,1.27
xor_chain,n16,ext1,UNSAT,197,2027,270,26,7.51,10.29,0.81,0.01,0.57
xor_chain,n16,ext4,UNSAT,187,1100,216,12,5.09,5.88,0.89,0.01,0.6
xor_chain,n16,ext8,UNSAT,139,1156,144,4,8.03,8.32,0.94,0.01,0.81
xor_chain,n16,xor_off,UNSAT,74,643,127,10,5.06,8.69,1.0,0.0,1.53
xor_chain,n20,1uip,UNSAT,167,1345,161,0,8.35,8.05,,0.01,1.0
xor_chain,n20,multi2,UNSAT,145,1324,279,0,4.75,9.13,,0.01,1.15
xor_chain,n20,multi4,UNSAT,143,1008,498,0,2.02,7.05,,0.01,1.17
xor_chain,n20,multi8,UNSAT,138,1024,736,0,1.39,7.42,,0.02,1.21
xor_chain,n20,ext1,UNSAT,413,3483,526,39,6.62,8.43,0.89,0.02,0.4
xor_chain,n20,ext4,UNSAT,400,2172,456,20,4.76,5.43,0.93,0.01,0.42
xor_chain,n20,ext8,UNSAT,388,2509,414,10,6.06,6.47,0.97,0.01,0.43
xor_chain,n20,xor_off,UNSAT,106,976,168,12,5.81,9.21,1.0,0.0,1.58
parity_tree,n4,1uip,UNSAT,8,40,4,0,10.0,5.0,,0.0,1.0
parity_tree,n4,multi2,UNSAT,8,37,11,0,3.36,4.62,,0.0,1.0
parity_tree,n4,multi4,UNSAT,6,28,14,0,2.0,4.67,,0.0,1.33
parity_tree,n4,multi8,UNSAT,6,25,21,0,1.19,4.17,,0.0,1.33
parity_tree,n4,ext1,UNSAT,8,40,4,0,10.0,5.0,,0.0,1.0
parity_tree,n4,ext4,UNSAT,8,40,4,0,10.0,5.0,,0.0,1.0
parity_tree,n4,ext8,UNSAT,8,40,4,0,10.0,5.0,,0.0,1.0
parity_tree,n4,xor_off,UNSAT,5,23,4,0,5.75,4.6,1.0,0.0,1.6
parity_tree,n6,1uip,UNSAT,21,160,17,0,9.41,7.62,,0.0,1.0
parity_tree,n6,multi2,UNSAT,21,154,37,0,4.16,7.33,,0.0,1.0
parity_tree,n6,multi4,UNSAT,15,97,47,0,2.06,6.47,,0.0,1.4
parity_tree,n6,multi8,UNSAT,15,90,78,0,1.15,6.0,,0.0,1.4
parity_tree,n6,ext1,UNSAT,42,314,47,3,6.68,7.48,0.88,0.0,0.5
parity_tree,n6,ext4,UNSAT,21,160,17,0,9.41,7.62,,0.0,1.0
parity_tree,n6,ext8,UNSAT,21,160,17,0,9.41,7.62,,0.0,1.0
parity_tree,n6,xor_off,UNSAT,14,94,12,0,7.83,6.71,1.0,0.0,1.5
parity_tree,n8,1uip,UNSAT,38,298,34,0,8.76,7.84,,0.0,1.0
parity_tree,n8,multi2,UNSAT,31,235,55,0,4.27,7.58,,0.0,1.23
parity_tree,n8,multi4,UNSAT,25,183,82,0,2.23,7.32,,0.0,1.52
parity_tree,n8,multi8,UNSAT,26,166,134,0,1.24,6.38,,0.0,1.46
parity_tree,n8,ext1,UNSAT,71,471,89,7,5.29,6.63,0.86,0.0,0.54
parity_tree,n8,ext4,UNSAT,38,298,34,0,8.76,7.84,,0.0,1.0
parity_tree,n8,ext8,UNSAT,38,298,34,0,8.76,7.84,,0.0,1.0
parity_tree,n8,xor_off,UNSAT,27,204,27,0,7.56,7.56,1.0,0.0,1.41
parity_tree,n10,1uip,UNSAT,65,607,61,0,9.95,9.34,,0.0,1.0
parity_tree,n10,multi2,UNSAT,46,393,87,0,4.52,8.54,,0.0,1.41
